agency,agency,Latitude,Longitude,actively_employed,De-escalation,Mental,Race,(blank),Grand Total,mental_de-escalation_total_over_5_years,mental_deescalation_per_officer,mental_deescalation_per_officer_per_year
G2353 BAINBRIDGE COLLEGE POLICE DEPARTMENT,Bainbridge College Police Department  ,30.888734,-84.617836,5,226,330,44,2412,3012,556,111.2,23
G2295 GEORGIA GWINNETT COLLEGE POLICE DEPT.,Georgia Gwinnett College Police Dept. ,33.874115,-84.259836,29,224,1402,,7069,8695,1626,56.1,11.6
G2296 BOARD OF REGENTS POLICE,Board Of Regents Police  ,33.747964,-84.390208,3,66,100,44,905,1115,166,55.3,11.4
G2307 DUNWOODY POLICE DEPARTMENT,Dunwoody Police Department   ,33.926072,-84.336018,58,630,2362,16,57804,60812,2992,51.6,10.7
G1701 LUTHERSVILLE POLICE DEPARTMENT,Luthersville Police Department   ,33.179184,-84.699455,2,,89,,458,547,89,44.5,9.2
G1256 THOMASVILLE POLICE DEPARTMENT,Thomasville Police Department   ,30.835619,-83.964396,56,745,1422,382,23801,26350,2167,38.7,8
G1257 FOREST PARK POLICE DEPARTMENT,Forest Park Police Department  ,33.608704,-84.377031,83,612,2324,,23928,26864,2936,35.4,7.3
G1737 DECATUR COUNTY SHERIFFS OFFICE,Decatur County Sheriffs Office  ,30.907388,-84.599335,59,680,1300,,8857,10837,1980,33.6,6.9
G1647 LAGRANGE POLICE DEPARTMENT,Lagrange Police Department   ,33.024935,-84.957664,88,136,2500,468,35248,38352,2636,30,6.2
G1061 CHEROKEE CO. BOARD OF EDUCATION POLICE,Cherokee Co. Board Of Education Police,34.235581,-84.49251,16,24,420,,3627,4071,444,27.8,5.7
G2102 GLYNN COUNTY SCHOOL POLICE,Glynn County School Police  ,31.147454,-81.491162,29,16,767,134,4063,4980,783,27,5.6
G1570 EMORY UNIVERSITY POLICE DEPARTMENT,Emory University Police Department  ,33.790529,-84.318032,69,142,1691,428,15689,17950,1833,26.6,5.5
